"Vehicle_ID","Make_Name","Comment"
"3042","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3043","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3044","WESTERN STAR","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3045","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3046","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3047","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3048","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3049","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3050","WESTERN STAR","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3051","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3052","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3053","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3054","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3055","WESTERN STAR","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3056","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3057","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3058","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3059","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3060","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3061","WESTERN STAR","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3062","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3063","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3064","WESTERN STAR","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3065","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3066","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3067","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3068","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3069","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3070","WESTERN STAR","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3071","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3072","WESTERN STAR","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3073","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3074","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3075","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3076","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3077","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3078","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3079","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
"3080","FREIGHTLINER","Issue: 
On certain trucks equipped with electronic stability control (ESC), the brake lights may turn on when the automatic traction control (ATC) activates. Canadian regulations do not allow brake lights to turn on when the automatic traction control activates. 

Safety Risk: 
Brake lights that turn on when a vehicle is not slowing could confuse other drivers. 

Corrective Actions: 
The company will notify owners by mail and instruct them to take their truck to a Daimler Trucks North America authorized service facility. The truck will either be reprogrammed or retrofitted so the brake lights do not turn on when the automatic traction control (ATC) activates."
